"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2006","1,233.97","1,254.07","1,263.15","1,174.11","1.13M","-2.26%"
"01/01/2006","1,262.51","1,237.21","1,266.83","1,172.09","1.44M","2.21%"
"12/01/2005","1,235.20","1,149.50","1,243.10","1,143.23","1.22M","7.26%"
"11/01/2005","1,151.57","1,049.64","1,155.54","1,049.30","1.28M","10.68%"
"10/01/2005","1,040.49","1,112.23","1,128.57","1,021.64","1.07M","-5.87%"
"09/01/2005","1,105.37","999.48","1,123.60","997.90","1.16M","11.71%"
"08/01/2005","989.49","1,019.55","1,042.03","963.05","1.08M","-2.66%"
"07/01/2005","1,016.56","906.57","1,017.64","905.03","994.56K","11.60%"
"06/01/2005","910.88","880.22","922.83","879.70","770.22K","2.83%"
"05/01/2005","885.78","837.67","888.99","831.50","673.93K","6.39%"
"04/01/2005","832.59","881.17","912.34","825.49","743.97K","-5.54%"
"03/01/2005","881.45","926.11","929.66","865.84","1.24M","-4.69%"
"02/01/2005","924.86","862.32","925.29","852.52","974.61K","6.97%"
"01/01/2005","864.58","826.98","866.34","800.82","1.07M","4.94%"
"12/01/2004","823.86","804.53","824.55","766.12","967.93K","1.83%"
"11/01/2004","809.05","773.29","826.94","771.89","920.44K","4.35%"
"10/01/2004","775.32","777.53","835.35","741.75","1.11M","0.00%"
"09/01/2004","775.33","743.38","804.69","742.17","969.46K","4.18%"
"08/01/2004","744.21","687.11","754.27","672.43","841.58K","7.65%"
"07/01/2004","691.34","740.62","748.44","670.84","751.61K","-6.80%"
"06/01/2004","741.81","765.15","777.42","681.02","1.11M","-2.51%"
"05/01/2004","760.88","817.97","831.82","676.78","1.31M","-6.94%"
"04/01/2004","817.59","843.27","893.44","806.93","1.34M","-3.26%"
"03/01/2004","845.13","853.59","869.95","783.52","1.90M","0.21%"
"02/01/2004","843.39","807.36","850.68","787.03","2.36M","4.75%"
"01/01/2004","805.18","756.35","831.15","754.15","2.01M","7.17%"
"12/01/2003","751.31","744.69","765.08","715.06","2.18M","0.80%"
"11/01/2003","745.36","737.71","769.44","702.28","2.26M","1.12%"
"10/01/2003","737.13","643.01","750.47","641.01","2.60M","13.55%"
"09/01/2003","649.19","709.96","727.40","639.69","1.53M","-8.14%"
